Opg3_dagnummer;Opg3_akkum_dk;Opg3_akkum_se;Opg3_dato
70;0;0;10-03-2020
71;0;1;11-03-2020
72;0;1;12-03-2020
73;0;1;13-03-2020
74;0;1;14-03-2020
75;1;3;15-03-2020
76;1;7;16-03-2020
77;4;8;17-03-2020
78;4;10;18-03-2020
79;6;10;19-03-2020
80;9;16;20-03-2020
81;13;20;21-03-2020
82;13;21;22-03-2020
83;24;25;23-03-2020
84;32;36;24-03-2020
85;34;42;25-03-2020
86;41;66;26-03-2020
87;52;92;27-03-2020
88;65;102;28-03-2020
89;72;110;29-03-2020
90;77;146;30-03-2020
91;90;180;31-03-2020
92;104;239;01-04-2020
93;123;282;02-04-2020
94;139;333;03-04-2020
95;161;373;04-04-2020
96;179;401;05-04-2020
97;187;477;06-04-2020
98;203;591;07-04-2020
99;218;687;08-04-2020
100;237;793;09-04-2020
101;247;870;10-04-2020
102;260;887;11-04-2020
103;273;899;12-04-2020
104;285;919;13-04-2020
105;299;1033;14-04-2020
106;309;1203;15-04-2020
107;321;1335;16-04-2020
108;332;1507;17-04-2020
